New ward code,Year,Population,Square Kilometres,Population per square kilometre
E05014016,2019,15585.0,1.4435,11057.53163346205
E05014016,2020,15658.5,1.4435,11105.952129736637
E05014016,2021,15788.5,1.4435,11194.990267385585
E05014016,2022,15923.0,1.4435,11287.173015710234
E05014016,2023,16045.5,1.4435,11371.04754288464
E05014016,2024,16158.5,1.4435,11448.102830445432
E05014016,2025,16239.5,1.4435,11506.215265314817
E05014017,2013,15425.5,3.135,5868.364275232701
E05014017,2014,15542.0,3.135,5930.684520952394
E05014017,2015,15613.0,3.135,5955.572162282361
E05014017,2016,15489.5,3.135,5904.138683121122
E05014017,2017,15543.5,3.135,5922.18476389006
E05014017,2018,15662.5,3.135,5964.7092633698985
E05014017,2019,15756.0,3.135,6000.9962403437185
E05014017,2020,15783.0,3.135,6006.783642458451
E05014017,2021,15872.5,3.135,6034.274659642372
E05014017,2022,15978.0,3.135,6067.749853551691
E05014017,2023,16067.5,3.135,6093.346838577718
E05014017,2024,16160.0,3.135,6120.253287005382
E05014017,2025,16290.0,3.135,6152.163835006142
E05014018,2013,15724.0,1.312,12170.832748177874
E05014018,2014,15722.666666666666,1.312,12174.140784947615
E05014018,2015,15868.0,1.312,12277.147658177977
E05014018,2016,16037.333333333334,1.312,12401.76124571237
E05014018,2017,16330.666666666666,1.312,12609.885749823841
E05014018,2018,16715.666666666668,1.312,12888.30706399369
E05014018,2019,17091.0,1.312,13157.53622227628
E05014018,2020,17347.333333333332,1.312,13344.519974307157
E05014018,2021,17665.0,1.312,13578.036555264714
E05014018,2022,18003.333333333332,1.312,13828.412601309034
E05014018,2023,18328.333333333332,1.312,14068.668650061969
E05014018,2024,18647.333333333332,1.312,14304.431060322568
E05014018,2025,18867.0,1.312,14465.710870145796
E05014019,2013,15349.666666666666,1.7469999999999999,11428.884091986036
E05014019,2014,15390.666666666666,1.7469999999999999,11465.790864588
E05014019,2015,15403.666666666666,1.7469999999999999,11467.51799771993
E05014019,2016,15880.0,1.7469999999999999,11582.289062225858
E05014019,2017,16375.666666666666,1.7469999999999999,11752.044618421474
E05014019,2018,16962.666666666668,1.7469999999999999,11983.875423925361
E05014019,2019,17548.0,1.7469999999999999,12206.699002201212
E05014019,2020,18194.666666666668,1.7469999999999999,12441.13542923302
E05014019,2021,18914.333333333332,1.7469999999999999,12718.24261201721
E05014019,2022,19662.333333333332,1.7469999999999999,13016.340834316821
E05014019,2023,20398.0,1.7469999999999999,13303.156139591976
E05014019,2024,21139.0,1.7469999999999999,13590.280885347476
E05014019,2025,21808.0,1.7469999999999999,13840.596654109346
